recno,raj2000,dej2000,vmag,e_vmag,bmag,e_bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
37285248,0.185855,-54.830756,10.991,0.025,12.099,0.024,11.568,0.072,10.592,0.079,10.125,0.081,HIP 65 A,0.187108674,-54.830524072,0.0,0.0,0.0,0.0,7.58441716340631E-04
16552759,0.325785,-8.926257,9.941,0.046,10.371,0.028,10.306,0.191,9.877,0.034,9.785,0.022,WASP-136,0.32575039299,-8.92629184132,3.7225,2.432,9.437,11.64,4.8813200976641E-05
18257335,0.362123,39.383797,10.659,0.033,11.189,0.045,10.916,0.022,10.559,0.044,10.441,0.038,KELT-1,0.36215341997,39.38382894624,3.6836,-9.696,-7.823,-11.87,3.9665800675995E-05
37228810,0.77458,-62.469293,13.808,0.045,14.568,0.045,14.16,0.02,13.587,0.054,13.401,0.066,HATS-34,0.77446064533,-62.46933768855000,1.9439,2.791,4.876,17.286,7.09974272454149E-05
37447507,1.046537,-47.360645,12.521,0.015,13.261,0.016,12.851,0.019,12.368,0.046,12.151,0.127,WASP-96,1.0464069851,-47.36064467548,2.859,25.594,2.192,-0.9,8.80702752500459E-05
16508495,3.903251,-11.938231,13.054,0.01,13.823,0.062,13.4,0.056,12.834,0.018,12.694,0.055,WASP-44,3.9032061042900000,-11.93813467611,2.7644,15.272,-30.159,0.0,1.05866278775924E-04
16843987,3.96174,1.200416,11.531,0.045,12.107,0.032,11.772,0.043,11.372,0.026,11.343,0.166,WASP-32,3.9616988593100000,1.2004413613600000,3.5706,1.951,16.447,18.41,4.83219628586086E-05
16508969,4.146358,-10.976446,12.188,0.029,12.755,0.03,12.424,0.03,12.057,0.024,11.99,0.089,WASP-158,4.1463391012,-10.97641539124,1.851,1.769,-1.68,25.0,3.57926268463649E-05
36494854,4.446966,-66.358914,7.88,0.0,8.474,0.0,,,,,,,HD 1397,4.44646824588,-66.35890638457,12.4934,64.729,-5.138,30.75,1.9974766195738E-04
3396334,4.523991,59.766207,12.123,0.085,12.837,0.104,12.419,0.102,11.893,0.066,11.662,0.061,TOI-6016,4.52402618116,59.76620621284000,2.7492,-7.728,-1.837,-48.52,1.77322361100285E-05
16490021,4.603106,-15.267519,11.105,0.026,11.731,0.042,11.382,0.017,10.956,0.016,10.85,0.024,WASP-26,4.602920025340000,-15.26729882744,3.9574,27.416,-24.524,9.6,2.84014625108482E-04
16516943,4.773019,-9.965877,9.949,0.0,11.225,0.016,10.61,0.042,9.357,0.0,8.813,0.0,TOI-260,4.77317661843625,-9.964852408527780,49.4757,-36.325,-301.491,-11.121,0.0010362853173528400
16358593,5.160536,-23.935775,10.788,0.025,11.388,0.051,11.034,0.012,10.632,0.034,10.485,0.053,WASP-20,5.16056268042,-23.93572300256,3.4699,1.352,-14.739,1.251,5.7431762712405E-05
18131448,5.166962,31.989977,11.672,0.052,12.301,0.147,11.92,0.132,11.522,0.046,11.381,0.046,WASP-1,5.16697740369,31.98998744711,2.6108,-4.692,-3.32,-13.424,1.67279164428049E-05
16245121,5.237741,-35.998433,12.262,0.031,13.127,0.024,12.649,0.014,11.976,0.034,11.785,0.066,WASP-45,5.237475543090000,-35.998262957410000,4.652,52.831,-46.94,4.95,2.73930480026368E-04
37233791,5.618678,-59.942601,12.205,0.023,12.795,0.011,12.45,0.019,12.039,0.013,11.931,0.009,HATS-30,5.61871720726,-59.942567558600000,2.9123,-22.34,-5.039,1.26,3.87809793983005E-05
17793289,6.529358,14.336435,12.651,0.013,13.359,0.043,12.981,0.037,12.44,0.014,12.226,0.048,TOI-5322,6.5293857275,14.336400499160600,2.0913,-10.905,6.457,-2.1866,4.37262366507715E-05
37271964,6.613621,-56.34432,15.032,0.043,16.365,0.017,15.677,0.046,14.524,0.042,14.053,0.103,HATS-49,6.6132619653300000,-56.34431513644,3.0781,42.571,8.223,0.0,1.9903671595443E-04
37271971,6.70254,-56.316112,13.693,0.058,14.431,0.027,14.012,0.02,13.509,0.032,13.339,0.15,HATS-46,6.70247354525,-56.31613343846000,2.2033,21.457,7.271,0.0,4.26381088585668E-05
16266089,7.301866,-30.45406,11.608,0.036,12.754,0.03,12.205,0.082,11.118,0.028,10.718,0.111,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,6.1060892536394E-04
