raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
0.18591,-54.830777,6378480489978661119,,,19.2287,0.0843,HIP 65 A,0.187108674,-54.830524072,0.0,0.0,0.0,0.0,7.35300375148319E-04
0.326152,-8.92602,6376932347539884092,19.6423,0.1755,14.0747,0.0076,WASP-136,0.32575039299,-8.92629184132,3.7225,2.432,9.437,11.64,4.80939571916589E-04
0.774375,-62.469241,6378937825610433628,,,20.0753,0.0896,HATS-34,0.77446064533,-62.46933768855000,1.9439,2.791,4.876,17.286,1.04478859434684E-04
1.046515,-47.360617,6379113721701073930,,,18.6931,0.0488,WASP-96,1.0464069851,-47.36064467548,2.859,25.594,2.192,-0.9,7.82265095589299E-05
3.903441,-11.938144,6377706411244126216,,,19.4006,0.0547,WASP-44,3.9032061042900000,-11.93813467611,2.7644,15.272,-30.159,0.0,2.30004332905997E-04
3.961647,1.200722,6379148907146906406,22.7738,0.4371,16.221,0.0132,WASP-32,3.9616988593100000,1.2004413613600000,3.5706,1.951,16.447,18.41,2.85387900279932E-04
4.146321,-10.976378,6379184131247440441,,,17.045,0.0192,WASP-158,4.1463391012,-10.97641539124,1.851,1.769,-1.68,25.0,4.13990283955397E-05
4.446528,-66.358695,6379184131247440441,20.2915,0.224,14.0676,0.0079,HD 1397,4.44646824588,-66.35890638457,12.4934,64.729,-5.138,30.75,2.12738355061468E-04
4.60282,-15.267242,6379184115141313814,21.7561,0.2701,16.2842,0.0123,WASP-26,4.602920025340000,-15.26729882744,3.9574,27.416,-24.524,9.6,1.11985223559187E-04
4.773127,-9.965074,6379184115141313814,,,18.8212,0.042,TOI-260,4.77317661843625,-9.964852408527780,49.4757,-36.325,-301.491,-11.121,2.26916384982227E-04
5.160587,-23.935852,6380204502734078723,22.2724,0.5273,15.7572,0.0155,WASP-20,5.16056268042,-23.93572300256,3.4699,1.352,-14.739,1.251,1.30898543017061E-04
5.167346,31.990103,6380204436162085067,,,16.6202,0.0156,WASP-1,5.16697740369,31.98998744711,2.6108,-4.692,-3.32,-13.424,3.33293514693521E-04
5.237378,-35.998363,6380204436162085067,,,19.4639,0.0403,WASP-45,5.237475543090000,-35.998262957410000,4.652,52.831,-46.94,4.95,1.27421381273371E-04
5.618303,-59.942595,6382597041111958605,,,17.351,0.024,HATS-30,5.61871720726,-59.942567558600000,2.9123,-22.34,-5.039,1.26,2.09269995003366E-04
6.529314,14.336487,6381822918354012108,,,18.1909,0.035,TOI-5322,6.5293857275,14.336400499160600,2.0913,-10.905,6.457,-2.1866,1.10958471866592E-04
6.702568,-56.316012,6381893301054737113,,,19.8666,0.0745,HATS-46,6.70247354525,-56.31613343846000,2.2033,21.457,7.271,0.0,1.32255644246468E-04
7.301462,-30.453831,6384567294008233463,,,20.3358,0.0758,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,1.94455277946746E-04
7.301462,-30.453831,6377917465934955465,,,20.3358,0.0758,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,1.94455277946746E-04
7.301462,-30.453831,6374926826521755867,,,20.3358,0.0758,TOI-178,7.30126216402,-30.453740793620000,15.9,150.032,-87.132,57.38,1.94455277946746E-04
